财哥,"我现在唯一的社交，居然是到处评论[我想静静]
有人回复，高兴半天[裂开]",2024-08-28 22:34:35,辽宁,819
舍：得,人最大的难关，就是离婚，那种万箭穿心的痛，会让你陷入两头难，特别是有孩子的离婚，不管谁对谁对，都永远亏欠孩子，没能给孩子一个完整的家庭，让他成为单亲家庭的一员，也输了孩子这一生，孩子应该有无忧无虑的童年，却要为父母的过错买单，那种对孩子的亏欠，那种取舍两难的痛苦，让你这辈子都不想走上结婚这条路，这种痛，只有经历过的人才知道。,2024-08-28 16:51:04,安徽,224
同学你好,人最大的难关，就是离婚，那种万箭穿心的痛，会让你陷入两头难，特别是有孩子的离婚，不管谁对谁对，都永远亏欠孩子，没能给孩子一个完整的家庭，让他成为单亲家庭的一员，也输了孩子这一生，孩子应该有无忧无虑的童年，却要为父母的过错买单，那种对孩子的亏欠，那种取舍两难的痛苦，让你这辈子都不想走上结婚这条路，这种痛，只有经历过的人才知道。,2024-08-31 06:04:48,四川,147
人生顺其自然,37岁，才明白。有事情只有自己想通，想透了。才算真正的明白……,2024-08-28 19:38:10,江苏,136
天道酬勤 利我利他,一个男人最好的状态是什么？就是无论你的婚姻幸与不幸，枕边人忠与不忠，身为男人，你都明白一件事，婚姻不是你人生的全部，下半生拼的也不是你的老婆，而是拼你自己，拼一个健康的身体，一个开心的余生，做为一个男人，最好的状态就是眼里写满了故事，脸上却不见任何风霜，每天打理自己，少动没用的心，多挣万能的金，不羡慕谁，也不嘲笑谁，更不依赖谁，悄悄的去努力，悄悄的爱自己，把委屈吞下，把格局撑大，照顾好生养自己的人，养育好自己生的人，至于其他人管不了的也不再劳心费力的去操心了，更不会去执着于改变别人，认知不在一个高度上没必要互相征服，成年人的世界只筛选不教育，只选择不改变。,2024-09-05 23:00:14,浙江,93
៚反方向的钟 ͜𓅪,一边内耗，一边自愈，一会想开了，一会又纠结了，想发个朋友圈诉苦，好像不太合适。想找个人倾诉一下压抑的心情，可是翻遍了所有社交才发现没有一个人可以去诉说。于是我又像往常一样，咽下所有的情绪，默默打开抖音，在别人的故事里对号入座，在陌生的评论区来倾诉内心的苦,2024-08-31 07:20:03,江苏,82
阿雷,男人最好的状态，少喝毒鸡汤,2024-08-28 22:21:16,河北,70
纸间文案,"我现在唯一的社交，居然是到处评论[我想静静]
有人回复，高兴半天[裂开][捂脸]",2024-09-07 00:55:21,广东,54
言夕情感,悄悄的努力，悄悄的爱自己，你能做到吗？,2024-08-27 12:04:43,吉林,52
3.3.3.,一边内耗，一边自愈，一会想开了，一会又纠结了，想发个朋友圈诉苦，好像不太合适。想找个人倾诉一下压抑的心情，可是翻遍了所有社交才发现没有一个人可以去诉说。于是我又像往常一样，咽下所有的情绪，默默打开抖音，在别人的故事里对号入座，在陌生的评论区来倾诉内心的苦……,2024-09-16 21:32:27,安徽,51
春暖花开,一边内耗，一边自愈，一会想开了，一会又纠结了，想发个朋友圈诉苦，好像不太合适。想找个人倾诉一下压抑的心情，可是翻遍了所有社交才发现没有一个人可以去诉说。于是我又像往常一样，咽下所有的情绪，默默打开抖音，在别人的故事里对号入座，在陌生的评论区来倾诉内心的苦……,2024-09-13 23:50:36,湖北,50
最好金龟换酒酒,说实话，看到老公转发这个，心里凉了半截。,2024-08-29 08:09:26,广东,47
❤️～媚媚～,我老公推荐过来的！婚姻没有对错！不合适没必要内耗是真的！坦坦荡荡离婚也不是一件丢人的事,2024-09-02 07:10:14,广东,45
芯想事成,一婚也好，二婚也罢，到老才是夫妻，半路离开的都是过客，得到不算本事，守得住才算，什么是幸福？你穷，有人陪你，你累，有人疼你，你病了，有人照顾你，你错了，有人包容你，一个温暖的家，一个爱你的人，一份好的心情。一个健康的身体，久了你会发现荣华富贵永远比不上一个爱你如命，疼你入骨的人，不知道是哪里错呢，饭不让你弄，家务不然你做，衣服不让你洗，什么事情都是安排的好好可换来的事离开。,2024-09-06 14:11:19,内蒙古,41
